stock,forecast_day,forecast_date,predicted_rv
ADANIPORTS,1,2025-08-06,0.2760872798834918
ADANIPORTS,2,2025-08-07,0.2744336131037316
ADANIPORTS,3,2025-08-08,0.27529001328418107
ADANIPORTS,4,2025-08-11,0.27385235029606103
ADANIPORTS,5,2025-08-12,0.27449035810260913
AXISBANK,1,2025-08-06,0.1246719345328248
AXISBANK,2,2025-08-07,0.12659418926845015
AXISBANK,3,2025-08-08,0.1258279047469449
AXISBANK,4,2025-08-11,0.12747252095186135
AXISBANK,5,2025-08-12,0.12691580930425175
COALINDIA,1,2025-08-07,0.2383437118443587
COALINDIA,2,2025-08-08,0.15908289214679744
COALINDIA,3,2025-08-11,0.24522853503214473
COALINDIA,4,2025-08-12,0.16049898075374489
COALINDIA,5,2025-08-13,0.25187682605052725
HAL,1,2025-08-06,0.17512631250517477
HAL,2,2025-08-07,0.18167804873196317
HAL,3,2025-08-08,0.17642951894857695
HAL,4,2025-08-11,0.18240190412837268
HAL,5,2025-08-12,0.1777744301242588
HDFCBANK,1,2025-08-06,0.1071461403578324
HDFCBANK,2,2025-08-07,0.10391771567670705
HDFCBANK,3,2025-08-08,0.10868740207980677
HDFCBANK,4,2025-08-11,0.10507964777244898
HDFCBANK,5,2025-08-12,0.11020898843408423
ICICIBANK,1,2025-08-06,0.12243675925684652
ICICIBANK,2,2025-08-07,0.12718797065858997
ICICIBANK,3,2025-08-08,0.1229735622610961
ICICIBANK,4,2025-08-11,0.12695252638469248
ICICIBANK,5,2025-08-12,0.12348425425937588
INFY,1,2025-08-07,0.1818921507498926
INFY,2,2025-08-08,0.11939048357484236
INFY,3,2025-08-11,0.18845665608411977
INFY,4,2025-08-12,0.11927699712448589
INFY,5,2025-08-13,0.19546246084460123
LT,1,2025-08-06,0.11825072944729359
LT,2,2025-08-07,0.1181772969845645
LT,3,2025-08-08,0.11919331574381474
LT,4,2025-08-11,0.1191984440191654
LT,5,2025-08-12,0.12011086701014607
RELIANCE,1,2025-08-07,0.11143493541833605
RELIANCE,2,2025-08-08,0.11010718499928214
RELIANCE,3,2025-08-11,0.11118507273364116
RELIANCE,4,2025-08-12,0.11019039380472515
RELIANCE,5,2025-08-13,0.11100685727552122
SBIN,1,2025-08-07,0.1349822357700364
SBIN,2,2025-08-08,0.13481951484834837
SBIN,3,2025-08-11,0.1346790849205893
SBIN,4,2025-08-12,0.13447796475118656
SBIN,5,2025-08-13,0.13435054172355324
TATASTEEL,1,2025-08-07,0.1388226760338213
TATASTEEL,2,2025-08-08,0.14331949477377495
TATASTEEL,3,2025-08-11,0.14035237422726146
TATASTEEL,4,2025-08-12,0.14347147302364313
TATASTEEL,5,2025-08-13,0.14158881204410487
TCS,1,2025-08-07,0.09051883161628835
TCS,2,2025-08-08,0.09278177837317396
TCS,3,2025-08-11,0.09138107214587976
TCS,4,2025-08-12,0.09293949755704096
TCS,5,2025-08-13,0.09207177036697319
TITAN,1,2025-08-07,0.1955268415748193
TITAN,2,2025-08-08,0.19542407276758436
TITAN,3,2025-08-11,0.19785904959336767
TITAN,4,2025-08-12,0.19756305236594632
TITAN,5,2025-08-13,0.2002137989850056
WIPRO,1,2025-08-07,0.1753656912785112
WIPRO,2,2025-08-08,0.13054383162191016
WIPRO,3,2025-08-11,0.1814685980665734
WIPRO,4,2025-08-12,0.12939870406651222
WIPRO,5,2025-08-13,0.18956673795726786
