Symbol,GARCH_Best,GARCH_AIC,HAR_R2
ADANIPORTS,GARCH,-83396.91530003656,0.9937106762628766
AXISBANK,GARCH,-157556.4278459726,0.9939398481174854
COALINDIA,GJR-GARCH,217377.80418031735,0.9905854148377273
HAL,GJR-GARCH,221093.56954291696,0.9904620964103352
HDFCBANK,GARCH,-288868.0318812715,0.9926470662326211
ICICIBANK,GARCH,571364.5941561967,0.9920792775630644
INFY,GJR-GARCH,-218151.17171667927,0.9813204616935683
LT,GARCH,94621.6849257012,0.9909626485634273
RELIANCE,GARCH,2627529.237782077,0.9928337686997685
SBIN,EGARCH,1667872.3534759409,0.992631926523674
TATASTEEL,GARCH,1287671.2903484083,0.9923278985681414
TCS,EGARCH,-272294.3010557831,0.9902276073504888
TITAN,GARCH,199084.88336633355,0.9895514133324705
WIPRO,GJR-GARCH,332888.69771536265,0.988316709159815
