Variable,Importance
RV_1d_lag75,60.412266
RV_1w,0.22769934
market_correlation,0.13050076
vwap_distance,0.12917352
is_opening,0.12848108
dow_cos,0.12701727
volume_zscore,0.12554684
RV_1d_lag1,0.123910576
log_RV_1d,0.12333335
RV_half_day,0.1230621
garch_volatility,0.12305281
Jump_ratio,0.121572904
RS_1d,0.11855084
Jump_1d,0.11680131
dow_sin,0.1167593
GK_1d,0.11656473
is_closing,0.11479293
hour_sin,0.1138497
month_sin,0.11292763
RV_1w_lag375,0.11099941
RV_1h,0.11096301
regime,0.108923666
var_31,0.108283386
log_target_RV_75bar,0.10722735
log_return,0.10527596
hour_cos,0.103576854
RV_1d_lag12,0.10274539
time_idx_global,0.10154207
month_cos,0.100448176
BV_1d,0.09119874
Parkinson_1d,0.08130497
RV_1d,0.061649576
